"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","tav_profit","tavp_wosp"
"144","Southern","Fixed",0,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"145","Southern","Fixed",0,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"146","Southern","Fixed",0,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"147","Southern","Fixed",0,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"148","Southern","Tracking",0,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"149","Southern","Tracking",0,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"150","Southern","Tracking",0,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"151","Southern","Tracking",0,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"152","Southern","Tracking",0,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"153","Southern","Tracking",0,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"154","Southern","Tracking",0,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"155","Southern","Tracking",0,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"156","Southern","Tracking",0,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"157","Southern","Tracking",0,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"158","Southern","Tracking",0,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"159","Southern","Tracking",0,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"160","Southern","Tracking",0,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"161","Southern","Tracking",0,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"162","Southern","Tracking",0,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"163","Southern","Tracking",0,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"164","Southern","Tracking",0,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"165","Southern","Tracking",0,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"166","Southern","Tracking",0,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"167","Southern","Tracking",0,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"168","Southern","Tracking",0,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"169","Black Belt","Fixed",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"170","Black Belt","Fixed",0.05,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"171","Black Belt","Fixed",0.05,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"172","Black Belt","Fixed",0.05,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"173","Black Belt","Fixed",0.05,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"174","Black Belt","Fixed",0.05,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"175","Black Belt","Fixed",0.05,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"176","Black Belt","Fixed",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"177","Black Belt","Fixed",0.05,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"178","Black Belt","Fixed",0.05,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"179","Black Belt","Fixed",0.05,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"180","Black Belt","Fixed",0.05,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"181","Black Belt","Fixed",0.05,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"182","Black Belt","Fixed",0.05,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"183","Black Belt","Fixed",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"184","Black Belt","Fixed",0.05,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"185","Black Belt","Fixed",0.05,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"186","Black Belt","Fixed",0.05,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"187","Black Belt","Fixed",0.05,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"188","Black Belt","Fixed",0.05,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"189","Black Belt","Fixed",0.05,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"190","Black Belt","Tracking",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"191","Black Belt","Tracking",0.05,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"192","Black Belt","Tracking",0.05,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"193","Black Belt","Tracking",0.05,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"194","Black Belt","Tracking",0.05,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"195","Black Belt","Tracking",0.05,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"196","Black Belt","Tracking",0.05,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"197","Black Belt","Tracking",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"198","Black Belt","Tracking",0.05,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"199","Black Belt","Tracking",0.05,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"200","Black Belt","Tracking",0.05,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"201","Black Belt","Tracking",0.05,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"202","Black Belt","Tracking",0.05,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"203","Black Belt","Tracking",0.05,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"204","Black Belt","Tracking",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"205","Black Belt","Tracking",0.05,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"206","Black Belt","Tracking",0.05,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"207","Black Belt","Tracking",0.05,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"208","Black Belt","Tracking",0.05,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"209","Black Belt","Tracking",0.05,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"210","Black Belt","Tracking",0.05,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"211","Central","Fixed",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"212","Central","Fixed",0.05,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"213","Central","Fixed",0.05,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"214","Central","Fixed",0.05,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"215","Central","Fixed",0.05,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"216","Central","Fixed",0.05,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"217","Central","Fixed",0.05,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"218","Central","Fixed",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"219","Central","Fixed",0.05,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"220","Central","Fixed",0.05,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"221","Central","Fixed",0.05,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"222","Central","Fixed",0.05,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"223","Central","Fixed",0.05,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"224","Central","Fixed",0.05,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"225","Central","Fixed",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"226","Central","Fixed",0.05,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"227","Central","Fixed",0.05,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"228","Central","Fixed",0.05,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"229","Central","Fixed",0.05,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"230","Central","Fixed",0.05,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"231","Central","Fixed",0.05,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"232","Central","Tracking",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"233","Central","Tracking",0.05,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"234","Central","Tracking",0.05,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"235","Central","Tracking",0.05,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"236","Central","Tracking",0.05,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"237","Central","Tracking",0.05,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"238","Central","Tracking",0.05,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"239","Central","Tracking",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"240","Central","Tracking",0.05,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"241","Central","Tracking",0.05,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"242","Central","Tracking",0.05,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"243","Central","Tracking",0.05,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"244","Central","Tracking",0.05,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"245","Central","Tracking",0.05,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"246","Central","Tracking",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"247","Central","Tracking",0.05,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"248","Central","Tracking",0.05,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"249","Central","Tracking",0.05,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"250","Central","Tracking",0.05,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"251","Central","Tracking",0.05,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"252","Central","Tracking",0.05,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"253","Northern","Fixed",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"254","Northern","Fixed",0.05,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"255","Northern","Fixed",0.05,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"256","Northern","Fixed",0.05,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"257","Northern","Fixed",0.05,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"258","Northern","Fixed",0.05,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"259","Northern","Fixed",0.05,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"260","Northern","Fixed",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"261","Northern","Fixed",0.05,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"262","Northern","Fixed",0.05,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"263","Northern","Fixed",0.05,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"264","Northern","Fixed",0.05,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"265","Northern","Fixed",0.05,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"266","Northern","Fixed",0.05,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"267","Northern","Fixed",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"268","Northern","Fixed",0.05,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"269","Northern","Fixed",0.05,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"270","Northern","Fixed",0.05,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"271","Northern","Fixed",0.05,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"272","Northern","Fixed",0.05,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"273","Northern","Fixed",0.05,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"274","Northern","Tracking",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"275","Northern","Tracking",0.05,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"276","Northern","Tracking",0.05,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
