"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","tav_profit","tavp_wosp"
"20","Black Belt","Fixed",0,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"21","Black Belt","Fixed",0,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"22","Black Belt","Tracking",0,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"23","Black Belt","Tracking",0,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"24","Black Belt","Tracking",0,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"25","Black Belt","Tracking",0,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"26","Black Belt","Tracking",0,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"27","Black Belt","Tracking",0,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"28","Black Belt","Tracking",0,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"29","Black Belt","Tracking",0,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"30","Black Belt","Tracking",0,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"31","Black Belt","Tracking",0,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"32","Black Belt","Tracking",0,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"33","Black Belt","Tracking",0,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"34","Black Belt","Tracking",0,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"35","Black Belt","Tracking",0,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"36","Black Belt","Tracking",0,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"37","Black Belt","Tracking",0,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"38","Black Belt","Tracking",0,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"39","Black Belt","Tracking",0,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"40","Black Belt","Tracking",0,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"41","Black Belt","Tracking",0,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"42","Black Belt","Tracking",0,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"43","Central","Fixed",0,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"44","Central","Fixed",0,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"45","Central","Fixed",0,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"46","Central","Fixed",0,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"47","Central","Fixed",0,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"48","Central","Fixed",0,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"49","Central","Fixed",0,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"50","Central","Fixed",0,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"51","Central","Fixed",0,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"52","Central","Fixed",0,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"53","Central","Fixed",0,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"54","Central","Fixed",0,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"55","Central","Fixed",0,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"56","Central","Fixed",0,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"57","Central","Fixed",0,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"58","Central","Fixed",0,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"59","Central","Fixed",0,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"60","Central","Fixed",0,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"61","Central","Fixed",0,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"62","Central","Fixed",0,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"63","Central","Fixed",0,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"64","Central","Tracking",0,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"65","Central","Tracking",0,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"66","Central","Tracking",0,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"67","Central","Tracking",0,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"68","Central","Tracking",0,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"69","Central","Tracking",0,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"70","Central","Tracking",0,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"71","Central","Tracking",0,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"72","Central","Tracking",0,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"73","Central","Tracking",0,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"74","Central","Tracking",0,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"75","Central","Tracking",0,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"76","Central","Tracking",0,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"77","Central","Tracking",0,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"78","Central","Tracking",0,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"79","Central","Tracking",0,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"80","Central","Tracking",0,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"81","Central","Tracking",0,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"82","Central","Tracking",0,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"83","Central","Tracking",0,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"84","Central","Tracking",0,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"85","Northern","Fixed",0,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"86","Northern","Fixed",0,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"87","Northern","Fixed",0,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"88","Northern","Fixed",0,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"89","Northern","Fixed",0,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"90","Northern","Fixed",0,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"91","Northern","Fixed",0,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"92","Northern","Fixed",0,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"93","Northern","Fixed",0,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"94","Northern","Fixed",0,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"95","Northern","Fixed",0,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"96","Northern","Fixed",0,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"97","Northern","Fixed",0,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"98","Northern","Fixed",0,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"99","Northern","Fixed",0,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"100","Northern","Fixed",0,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"101","Northern","Fixed",0,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"102","Northern","Fixed",0,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"103","Northern","Fixed",0,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"104","Northern","Fixed",0,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"105","Northern","Fixed",0,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"106","Northern","Tracking",0,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"107","Northern","Tracking",0,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"108","Northern","Tracking",0,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"109","Northern","Tracking",0,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"110","Northern","Tracking",0,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"111","Northern","Tracking",0,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"112","Northern","Tracking",0,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"113","Northern","Tracking",0,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"114","Northern","Tracking",0,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"115","Northern","Tracking",0,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"116","Northern","Tracking",0,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"117","Northern","Tracking",0,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"118","Northern","Tracking",0,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"119","Northern","Tracking",0,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"120","Northern","Tracking",0,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"121","Northern","Tracking",0,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"122","Northern","Tracking",0,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"123","Northern","Tracking",0,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"124","Northern","Tracking",0,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"125","Northern","Tracking",0,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"126","Northern","Tracking",0,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"127","Southern","Fixed",0,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"128","Southern","Fixed",0,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"129","Southern","Fixed",0,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"130","Southern","Fixed",0,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"131","Southern","Fixed",0,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"132","Southern","Fixed",0,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"133","Southern","Fixed",0,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"134","Southern","Fixed",0,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"135","Southern","Fixed",0,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"136","Southern","Fixed",0,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"137","Southern","Fixed",0,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"138","Southern","Fixed",0,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"139","Southern","Fixed",0,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"140","Southern","Fixed",0,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"141","Southern","Fixed",0,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"142","Southern","Fixed",0,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"143","Southern","Fixed",0,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"144","Southern","Fixed",0,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"145","Southern","Fixed",0,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"146","Southern","Fixed",0,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"147","Southern","Fixed",0,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"148","Southern","Tracking",0,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"149","Southern","Tracking",0,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"150","Southern","Tracking",0,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"151","Southern","Tracking",0,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"152","Southern","Tracking",0,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"153","Southern","Tracking",0,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"154","Southern","Tracking",0,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"155","Southern","Tracking",0,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"156","Southern","Tracking",0,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"157","Southern","Tracking",0,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"158","Southern","Tracking",0,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"159","Southern","Tracking",0,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"160","Southern","Tracking",0,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"161","Southern","Tracking",0,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"162","Southern","Tracking",0,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"163","Southern","Tracking",0,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"164","Southern","Tracking",0,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"165","Southern","Tracking",0,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"166","Southern","Tracking",0,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"167","Southern","Tracking",0,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"168","Southern","Tracking",0,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"169","Black Belt","Fixed",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"170","Black Belt","Fixed",0.05,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"171","Black Belt","Fixed",0.05,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"172","Black Belt","Fixed",0.05,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"173","Black Belt","Fixed",0.05,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"174","Black Belt","Fixed",0.05,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"175","Black Belt","Fixed",0.05,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"176","Black Belt","Fixed",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"177","Black Belt","Fixed",0.05,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"178","Black Belt","Fixed",0.05,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"179","Black Belt","Fixed",0.05,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"180","Black Belt","Fixed",0.05,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"181","Black Belt","Fixed",0.05,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"182","Black Belt","Fixed",0.05,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"183","Black Belt","Fixed",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"184","Black Belt","Fixed",0.05,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"185","Black Belt","Fixed",0.05,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"186","Black Belt","Fixed",0.05,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"187","Black Belt","Fixed",0.05,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"188","Black Belt","Fixed",0.05,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"189","Black Belt","Fixed",0.05,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"190","Black Belt","Tracking",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"191","Black Belt","Tracking",0.05,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"192","Black Belt","Tracking",0.05,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"193","Black Belt","Tracking",0.05,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"194","Black Belt","Tracking",0.05,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"195","Black Belt","Tracking",0.05,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"196","Black Belt","Tracking",0.05,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"197","Black Belt","Tracking",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"198","Black Belt","Tracking",0.05,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"199","Black Belt","Tracking",0.05,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"200","Black Belt","Tracking",0.05,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"201","Black Belt","Tracking",0.05,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"202","Black Belt","Tracking",0.05,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"203","Black Belt","Tracking",0.05,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"204","Black Belt","Tracking",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"205","Black Belt","Tracking",0.05,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"206","Black Belt","Tracking",0.05,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"207","Black Belt","Tracking",0.05,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"208","Black Belt","Tracking",0.05,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"209","Black Belt","Tracking",0.05,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"210","Black Belt","Tracking",0.05,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"211","Central","Fixed",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"212","Central","Fixed",0.05,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"213","Central","Fixed",0.05,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"214","Central","Fixed",0.05,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"215","Central","Fixed",0.05,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"216","Central","Fixed",0.05,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"217","Central","Fixed",0.05,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"218","Central","Fixed",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"219","Central","Fixed",0.05,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"220","Central","Fixed",0.05,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"221","Central","Fixed",0.05,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"222","Central","Fixed",0.05,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"223","Central","Fixed",0.05,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"224","Central","Fixed",0.05,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"225","Central","Fixed",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"226","Central","Fixed",0.05,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"227","Central","Fixed",0.05,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"228","Central","Fixed",0.05,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"229","Central","Fixed",0.05,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"230","Central","Fixed",0.05,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"231","Central","Fixed",0.05,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"232","Central","Tracking",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"233","Central","Tracking",0.05,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"234","Central","Tracking",0.05,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"235","Central","Tracking",0.05,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"236","Central","Tracking",0.05,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"237","Central","Tracking",0.05,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"238","Central","Tracking",0.05,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"239","Central","Tracking",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"240","Central","Tracking",0.05,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"241","Central","Tracking",0.05,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"242","Central","Tracking",0.05,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"243","Central","Tracking",0.05,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"244","Central","Tracking",0.05,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"245","Central","Tracking",0.05,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"246","Central","Tracking",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"247","Central","Tracking",0.05,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"248","Central","Tracking",0.05,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"249","Central","Tracking",0.05,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"250","Central","Tracking",0.05,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"251","Central","Tracking",0.05,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"252","Central","Tracking",0.05,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"253","Northern","Fixed",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"254","Northern","Fixed",0.05,0,0.01,18,4.6,1649.38264,0.7,952,649.382639999996,1649.38264
"255","Northern","Fixed",0.05,0,0.01,19,4.6,715.38264,0.6,816,-284.61736,715.38264
"256","Northern","Fixed",0.05,0,0.01,20,4.6,1531.38264,0.6,816,531.38264,1531.38264
"257","Northern","Fixed",0.05,0,0.01,21,4.6,189.38264,0.5,680,-810.61736,189.38264
"258","Northern","Fixed",0.05,0,0.01,22,4.6,869.38264,0.5,680,-130.61736,869.38264
"259","Northern","Fixed",0.05,0,0.01,23,4.6,1549.38264,0.5,680,549.38264,1549.38264
"260","Northern","Fixed",0.05,0,0.01,17,6.4,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"261","Northern","Fixed",0.05,0,0.01,18,6.4,1649.38264,0.7,952,649.382639999996,1649.38264
"262","Northern","Fixed",0.05,0,0.01,19,6.4,715.38264,0.6,816,-284.61736,715.38264
"263","Northern","Fixed",0.05,0,0.01,20,6.4,1531.38264,0.6,816,531.38264,1531.38264
"264","Northern","Fixed",0.05,0,0.01,21,6.4,189.38264,0.5,680,-810.61736,189.38264
"265","Northern","Fixed",0.05,0,0.01,22,6.4,869.38264,0.5,680,-130.61736,869.38264
"266","Northern","Fixed",0.05,0,0.01,23,6.4,1549.38264,0.5,680,549.38264,1549.38264
"267","Northern","Fixed",0.05,0,0.01,17,8.2,697.382639999998,0.7,952,-302.617360000002,697.382639999998
"268","Northern","Fixed",0.05,0,0.01,18,8.2,1649.38264,0.7,952,649.382639999996,1649.38264
"269","Northern","Fixed",0.05,0,0.01,19,8.2,715.38264,0.6,816,-284.61736,715.38264
"270","Northern","Fixed",0.05,0,0.01,20,8.2,1531.38264,0.6,816,531.38264,1531.38264
"271","Northern","Fixed",0.05,0,0.01,21,8.2,189.38264,0.5,680,-810.61736,189.38264
"272","Northern","Fixed",0.05,0,0.01,22,8.2,869.38264,0.5,680,-130.61736,869.38264
"273","Northern","Fixed",0.05,0,0.01,23,8.2,1549.38264,0.5,680,549.38264,1549.38264
"274","Northern","Tracking",0.05,0,0.01,17,4.6,697.382639999998,0.7,952,-302.617360000002,697.382639999998
